Copyright (C) 2020  Intel Corporation. All rights reserved.,,,
Your use of Intel Corporation's design tools, logic functions ,,
and other software and tools, and any partner logic ,,
functions, and any output files from any of the foregoing ,,
(including device programming or simulation files), and any ,,
associated documentation or information are expressly subject ,,,
to the terms and conditions of the Intel Program License ,,,
Subscription Agreement, the Intel Quartus Prime License Agreement,,
the Intel FPGA IP License Agreement, or other applicable license,,
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by,,,
Intel and sold by Intel or its authorized distributors.  Please,,,
refer to the applicable agreement for further details, at,,
https://fpgasoftware.intel.com/eula.,,,
,,,
Fitter Resource Usage Summary,,,
,,,
Resource,Usage,,
Total logic elements,"2,789 / 49,760 ( 6 % )",,
    -- Combinational with no register,862,,
    -- Register only,890,,
    -- Combinational with a register,1037,,
,,,
Logic element usage by number of LUT inputs,,,
    -- 4 input functions,1470,,
    -- 3 input functions,323,,
    -- <=2 input functions,106,,
    -- Register only,890,,
,,,
Logic elements by mode,,,
    -- normal mode,1821,,
    -- arithmetic mode,78,,
,,,
Total registers*  ,"1,927 / 51,509 ( 4 % )",,
    -- Dedicated logic registers,"1,927 / 49,760 ( 4 % )",,
    -- I/O registers,"0 / 1,749 ( 0 % )",,
,,,
Total LABs:  partially or completely used,"226 / 3,110 ( 7 % )",,
Virtual pins,0,,
I/O pins,50 / 360 ( 14 % ),,
    -- Clock pins ,3 / 8 ( 38 % ),,
    -- Dedicated input pins ,1 / 1 ( 100 % ),,
 , ,,
M9Ks,0 / 182 ( 0 % ),,
UFM blocks,0 / 1 ( 0 % ),,
ADC blocks,0 / 2 ( 0 % ),,
Total block memory bits,"0 / 1,677,312 ( 0 % )",,
Total block memory implementation bits,"0 / 1,677,312 ( 0 % )",,
Embedded Multiplier 9-bit elements,0 / 288 ( 0 % ),,
PLLs,1 / 4 ( 25 % ),,
Global signals ,4,,
    -- Global clocks,4 / 20 ( 20 % ),,
JTAGs,0 / 1 ( 0 % ),,
CRC blocks,0 / 1 ( 0 % ),,
Remote update blocks,0 / 1 ( 0 % ),,
Oscillator blocks,0 / 1 ( 0 % ),,
Impedance control blocks,0 / 1 ( 0 % ),,
Average interconnect usage (total/H/V),2.3% / 2.0% / 2.6%,,
Peak interconnect usage (total/H/V),34.1% / 32.1% / 37.0%,,
Maximum fan-out,1831,,
Highest non-global fan-out,1819,,
Total fan-out,15578,,
Average fan-out,3.23,,
